director,title,casts,cover,detailLink,year,types,country,lang,time,moveiTime,cover,detail,summary,comments,imgList,movieUrl
拉库马·希拉尼 Rajkumar Hirani,三傻大闹宝莱坞,阿米尔·汗 Aamir Khan / 卡...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,https://movie.douban.com/subject/3793023/,2009,剧情 喜剧 爱情 歌舞,印度,0,9.2,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,https://movie.douban.com/subject/3793023/
安德鲁·斯坦顿 Andrew Stanton,机器人总动员,本·贝尔特 Ben Burtt / 艾丽...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/,2008,科幻 动画 冒险,美国,0,9.3,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/
克里斯托夫·巴拉蒂 Christophe Barratier,放牛班的春天,让-巴蒂斯特·莫尼...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,https://movie.douban.com/subject/1291549/,2004,剧情 音乐,法国 瑞士 德国,0,9.3,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,https://movie.douban.com/subject/1291549/
刘伟强 / 麦兆辉,无间道,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,https://movie.douban.com/subject/1307914/,2002,剧情 犯罪 惊悚,中国香港,0,9.3,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,https://movie.douban.com/subject/1307914/
比利·怀尔德 Billy Wilder,控方证人,泰隆·鲍华 Tyrone Power / 玛琳·...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1963057234.jpg,https://movie.douban.com/subject/1296141/,1957,剧情 犯罪 悬疑 惊悚,美国,0,9.6,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1963057234.jpg,https://movie.douban.com/subject/1296141/
刘镇伟 Jeffrey Lau,大话西游之大圣娶亲,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,https://movie.douban.com/subject/1292213/,1995,喜剧 爱情 奇幻 古装,中国香港 中国大陆,0,9.2,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,https://movie.douban.com/subject/1292213/
黄东赫 Dong-hyuk Hwang,熔炉,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/,2011,剧情,韩国,0,9.3,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/
李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,寻梦环游记,...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,https://movie.douban.com/subject/20495023/,2017,喜剧 动画 奇幻 音乐,美国,0,9.1,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,https://movie.douban.com/subject/20495023/
奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,触不可及,未知,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/,2011,剧情 喜剧,法国,0,9.3,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/
弗朗西斯·福特·科波拉 Francis Ford Coppola,教父,马龙·白兰度 M...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,https://movie.douban.com/subject/1291841/,1972,剧情 犯罪,美国,0,9.3,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,https://movie.douban.com/subject/1291841/
加布里尔·穆奇诺 Gabriele Muccino,当幸福来敲门,威尔·史密斯 Will Smith ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,https://movie.douban.com/subject/1849031/,2006,剧情 传记 家庭,美国,0,9.1,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,https://movie.douban.com/subject/1849031/
贝纳尔多·贝托鲁奇 Bernardo Bertolucci,末代皇帝,尊龙 John Lone / 陈...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,https://movie.douban.com/subject/1293172/,1987,剧情 传记 历史,英国 意大利 中国大陆 法国,0,9.3,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,https://movie.douban.com/subject/1293172/
Chris Columbus,哈利·波特与魔法石,Daniel Radcliffe / Emma Watson / Rupert Grint,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg,https://movie.douban.com/subject/1295038/,2001,奇幻 冒险,美国 英国,0,9.2,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg,https://movie.douban.com/subject/1295038/
宫崎骏 Hayao Miyazaki,龙猫,日高法子 Noriko Hidaka / 坂本千夏 Ch...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/,1988,动画 奇幻 冒险,日本,0,9.2,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/
张艺谋 Yimou Zhang,活着,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,https://movie.douban.com/subject/1292365/,1994,剧情 历史 家庭,中国大陆 中国香港,0,9.3,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,https://movie.douban.com/subject/1292365/
罗伯·莱纳 Rob Reiner,怦然心动,玛德琳·卡罗尔 Madeline Carroll / 卡...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,https://movie.douban.com/subject/3319755/,2010,剧情 喜剧 爱情,美国,0,9.1,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,https://movie.douban.com/subject/3319755/
克里斯托弗·诺兰 Christopher Nolan,蝙蝠侠：黑暗骑士,克里斯蒂安·贝尔 Christ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/,2008,剧情 动作 科幻 犯罪 惊悚,美国 英国,0,9.2,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/
